Code,Year,Name,Add_1,Add_2,Kind,Staple_food,Dong_name,Number
3150000,2015,김창덕 갈비탕,"서울특별시 강서구 강서로56길 90, 1층 (등촌동, 3동)",서울특별시 강서구 등촌동  667번지 0호  (지상 1층),한식,"갈비탕,갈비찜",등촌제3동,226688889
3150000,2016,꽃마름샤브 신방화역점(스시&샐러드),"서울특별시 강서구 마곡중앙5로 81, 2층 205~207호 (마곡동, 방화 1동 에스비타운)",서울특별시 강서구 마곡동  739번지 3호  에스비타운 (지상 2층) 205~207호,한식,샐러드,방화제1동,226663886
3150000,2012,주식회사 홍린,"서울특별시 강서구 우장산로15길 25, 1~3층 (화곡동, 6동)",서울특별시 강서구 화곡동  1096번지 17호  (지상 1~3층),중국식,짬뽕,화곡제6동,226086556
3150000,2013,무리소 발산점,"서울특별시 강서구 우장산로 16, 1층 (내발산동, 우장산동)",서울특별시 강서구 내발산동  670번지 14호  (지상 1층),한식,고기뷔페(소고기),우장산동,236647825
3150000,2015,등촌아구찜해물탕,"서울특별시 강서구 공항대로41길 34, 1층 102호 (등촌동, 3동)",서울특별시 강서구 등촌동  700번지 0호  (지상 1층)-102,한식,아구찜.해물탕,등촌제3동,236634478
3150000,2015,숙성한돈,"서울특별시 강서구 공항대로 290, 2층 201~202호 (내발산동, 우장산동)",서울특별시 강서구 내발산동  646번지 1호  (지상 2층)-201~202,한식,삼겹살,우장산동,236613332
3150000,2015,봉추찜닭 김포공항점,"서울특별시 강서구 하늘길 38, 지하 2층 (방화동, 2동 김포공항스카이파크롯데몰)",서울특별시 강서구 방화동  886번지 0호  외 6필지 김포공항스카이파크롯데몰 (지하 2층),한식,찜닭,방화제2동,261165169
3150000,2008,한우한마리,"서울특별시 강서구 강서로5나길 65, 1~2층 (화곡동, 1동)",서울특별시 강서구 화곡동  910번지 23호  (지상 1~2층),한식,한우등심,화곡제1동,220651616
3150000,2015,베이징화곡본점,"서울특별시 강서구 화곡로 118, 2~4층 (화곡동, 1동 베이징빌딩)",서울특별시 강서구 화곡동  1070번지 44호  베이징빌딩 (지상 2~4층),중국식,전가복,화곡제1동,226997275
3150000,2015,여포돼지숯불구이와밥,"서울특별시 강서구 국회대로 145, 1층 (화곡동, 8동 여명빌딩)",서울특별시 강서구 화곡동  887번지 6호  여명빌딩 (지상 1층),한식,돼지갈비,화곡제8동,226524897
